id,Completed,Last page seen,Start language,0,Course type,Course name,1.1.1 [Other],1.1.2,1.1.2 [Other],Graduated,Start year,Finish year,1.4.1 [University 1] Name,1.4.1 [University 2] Name,1.4.1 [University 3] Name,Nationality,Other nationality,Second nationality,Age,Gender,2.1.4 [Housing],2.1.4 [Visa/Residence Permit],2.1.4 [Banking],2.1.4 [Language Courses],2.1.4 [Health/Insurance],2.1.4 [Recreation],2.1.4 [Issues related to your family and their relocation],2.1.4 [Estimation of living expenses],2.1.4 [Local Transportation],2.1.5 [Housing],2.1.5 [Visa/Residence Permit],2.1.5 [Banking],2.1.5 [Language Courses],2.1.5 [Health/Insurance],2.1.5 [Recreation],2.1.5 [Issues related to your family and their relocation],2.1.5 [Estimation of living expenses],2.1.5 [Local Transportation],2.1.6 [Housing],2.1.6 [Visa/Residence Permit],2.1.6 [Banking],2.1.6 [Language Courses],2.1.6 [Health/Insurance],2.1.6 [Recreation],2.1.6 [Issues related to your family and their relocation],2.1.6 [Estimation of living expenses],2.1.6 [Local Transportation],2.2.4 [Enrolling in classes ],2.2.4 [Performance Reqs.],2.2.4 [Standards of Behaviour],2.2.4 [Evaluation Methods and Timetable],2.2.4 [Course Content],2.2.4 [Fieldwork],2.2.5 [Enrolling in classes ],2.2.5 [Performance Reqs.],2.2.5 [Standards of Behaviour],2.2.5 [Evaluation Methods and Timetable],2.2.5 [Course Content],2.2.5 [Fieldwork],2.2.6 [Enrolling in classes ],2.2.6 [Performance Reqs.],2.2.6 [Standards of Behaviour],2.2.6 [Evaluation Methods and Timetable],2.2.6 [Course Content],2.2.6 [Fieldwork],2.3.1 [Faculty],2.3.1 [Course administrators],2.3.1 [University resources],2.3.1 [International Student Office],2.3.1 [Student Associations],2.3.1 [Other Students],2.3.2 [Faculty],2.3.2 [Course administrators],2.3.2 [University resources],2.3.2 [International Student Office],2.3.2 [Student Associations],2.3.2 [Other Students],2.3.3 [Faculty],2.3.3 [Course administrators],2.3.3 [University resources],2.3.3 [International Student Office],2.3.3 [Student Associations],2.3.3 [Other Students],2.5.1 [University 1],2.5.1 [University 2],2.5.1 [University 3],2.5.2. How could your orientation and integration experience (either professional or personal) have been improved in any way?,3.1 [I could approach my course coordinator with questions or problems related to my studies and mobility experience.],3.1 [My course coordinator referred me to appropriate university administrative resources as needed.],3.1 [I felt confident that my course coordinator would follow up on any unresolved administrative issues or questions after addressing these with him/her.],4.1.1. Formalized feedback system: All universities combined,4.1.2. Formalized feedback system: Consortium,4.2.1 [Quality of the courses provided  ],4.2.1 [Quality of the services offered],4.2.2 [Quality of the courses provided  ],4.2.2 [Quality of the services offered],4.2.3 [Quality of the courses provided  ],4.2.3 [Quality of the services offered],4.3. Describe course feedback channels,4.5. Procedure for raising issues with the entire consortium,4.6. Consortium implementing recommendaions given by students,4.6 - Comment,4.7. Recommendation to improve feedback channels,5.1.1 [Academic Support],5.1.1 [Administrative Support],5.1.2 [Academic Support],5.1.2 [Administrative Support],5.1.3 [Academic Support],5.1.3 [Administrative Support],5.2 [My lecturers provided me enough time for individual consultations.],5.2 [My lecturers were available by email and responded in a timely manner.],5.2 [My supervisor provided valuable advice during my thesis work.],5.2 [Standby professors were available for consultation if the lead supervisor was unavailable.],6.1. Awareness over te existance of EMA,6.2. Awareness over the possibility of each course to elect an EMA course representative,6.3. Most important issue to be addressed by course representative,7.1. Three most important aspects of student experience that could be improved,7.2. Additional comments and suggestions,8.1. Overall academic quality,8.2. Overall balance of course workload,8.3. Consistency of assessment,8.4. Quality of internship,8.5. Use of innovative technologies,8.6. Understanding the state of the art of your discipline,8.7. Balance of academic mobility path in relation to academic needs,9.1. Achievement beyond expectations,"9.2. Provision of certificates, transcripts etc",9.3. Enhancement of employment,9.4. Information about degree and certificates,9.5. Provision of soft skills,9.6. Provision of monthly allowance
3005,1980-01-01 00:00:00,13,en,120390tahe,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,University of Liege,Duke University,,,,,,Excellent,Excellent,Good,Good,Excellent,Excellent,,Good,Excellent,Inadequate,Very inadequate,Good,Good,,Good,,Inadequate,Adequate,Good,Excellent,Excellent,Excellent,Excellent,Excellent,,Adequate,Very inadequate,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Adequate,Adequate,Inadequate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Adequate,Inadequate,Inadequate,Inadequate,Adequate,Good,Good,Excellent,Good,Excellent,Adequate,Good,Excellent,,Good,Good,,Strongly agree,Strongly agree,Strongly agree,"Some do, other do not",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strong,,,,,Excellent,Excellent,Inadequate,Inadequate,Excellent,Good,Strongly agree,Agree,,Strongly agree,Yes,No,,,,Excellent,Good,Good,Very inadequate,Excellent,Good,Excellent,,,,Adequate,Excellent,Inadequate
1674,1980-01-01 00:00:00,13,en,120691XISH,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,,,,,,,,,,Excellent,,,I really think they have already done a great job.,Strongly agree,Strongly agree,Strongly agree,"Yes, all universities do",Yes,Yes,Yes,,,,,Very strong,Maybe talk or e-mail to someone related.,Yes,,I do not have some better recommendations.,Excellent,Excellent,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,,Excellent,Excellent,Excellent
564,1980-01-01 00:00:00,13,en,123456stce,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,University of Liege,,,,,,,Excellent,Good,Excellent,Excellent,Excellent,Excellent,,Good,Excellent,Inadequate,Inadequate,Inadequate,Adequate,Inadequate,Inadequate,,Adequate,Adequate,,,,,,,,,,Good,Good,Good,Excellent,Good,Excellent,Adequate,Inadequate,Good,Inadequate,Inadequate,Adequate,,,,,,,Excellent,Excellent,Good,Excellent,Good,Excellent,Inadequate,Inadequate,Inadequate,Adequate,Inadequate,Inadequate,,,,,,,Excellent,Inadequate,,,Agree,Agree,Agree,"Some do, other do not",Somewhat (weak or unclear systems),Yes,Yes,No,No,,,Strong,,Yes,Partially,,Good,Good,Adequate,Inadequate,,,Agree,Neutral,Disagree,Neutral,Yes,No,,,,Good,Good,Inadequate,Adequate,Good,Good,Inadequate,Good,Very inadequate,Good,Very inadequate,Excellent,Good
635,1980-01-01 00:00:00,13,en,130188JEBE,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,University of Liege,,,,,,,Excellent,Excellent,Good,Good,Good,Adequate,Good,Adequate,Adequate,Inadequate,Adequate,Very inadequate,Very inadequate,,Inadequate,,Inadequate,Adequate,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,,,,Inadequate,,,,,,,,,Good,Excellent,Excellent,Excellent,Adequate,Adequate,Adequate,Inadequate,Adequate,Very inadequate,Very inadequate,,,,,,,Excellent,Inadequate,,,Strongly agree,Agree,Agree,"Some do, other do not",Yes,Yes,Yes,I am not sure,I am not sure,,,Adequate,Don't know,,"I think they did at KTH, we meet every month to discuss how the course was progressing",,Excellent,Excellent,Inadequate,Adequate,,,Agree,Agree,Agree,Agree,Yes,No,,- ULg,"I felt that KTH wanted us to succeed, and that ULg did not care.",Good,Adequate,Very inadequate,Good,Excellent,Excellent,Adequate,Good,Very inadequate,Excellent,Very inadequate,Good,Excellent
3741,1980-01-01 00:00:00,13,en,130590josa,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,,,,,,,,,Good,Good,Good,Adequate,Good,Good,Good,Excellent,,,,,,,,,,,,,,,,,,,Good,Good,Good,Adequate,Good,Inadequate,,,,,,,,,,,,,Adequate,Good,Good,Excellent,Good,Good,,,,,,,,,,,,,Excellent,,,,Neutral,Agree,Agree,"Yes, all universities do",Yes,Yes,Yes,,,,,Adequate,,Yes,,,Good,Good,,,,,Disagree,Agree,,,No,No,,,,Good,Good,Adequate,No answer,Good,Good,Good,,,,Good,Good,Good
2920,1980-01-01 00:00:00,13,en,140790zhma,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,,,,,,,,Good,Good,Excellent,,,Inadequate,,Adequate,Excellent,,,,,,,,,,,,,,,,,,,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,,,,,,,,,,,,,Excellent,Excellent,Good,Good,Inadequate,Excellent,,,,,,,,,,,,,Excellent,,,,Strongly agree,Agree,Strongly agree,"Yes, all universities do",Yes,Yes,Yes,,,,,Very strong,,,,,Excellent,Excellent,,,,,Agree,Agree,Agree,Agree,No,No,,"Asistant coordinates should be introduced, since it is hard for him to serve so many students.",,Excellent,No answer,Adequate,Adequate,Good,Good,No answer,,,,No answer,Adequate,Adequate
1233,1980-01-01 00:00:00,13,en,141090PEOL,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,,,,,,,,Good,Good,Adequate,Good,Good,Adequate,Adequate,Adequate,Good,,,,,,,,,,,,,,,,,,,Excellent,Good,Good,Adequate,Adequate,Adequate,,,,,,,,,,,,,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,,Good,,,Meeting people (faculty and students) from all over the world has improved my communications with others.,Agree,Agree,Strongly agree,"Yes, all universities do",Yes,Somewhat,Somewhat,,,,,Adequate,By sending E-mail or meeting in person.,Yes,,more frequent meetings.,Good,Good,,,,,Neutral,Agree,,Neutral,No,No,,,,Good,Adequate,Adequate,No answer,Good,Adequate,No answer,,,,Inadequate,Adequate,Good
618,1980-01-01 00:00:00,13,en,151187anga,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,University of Liege,,,,,,,Good,Excellent,Good,Inadequate,Excellent,Excellent,,Good,Excellent,Inadequate,Inadequate,Inadequate,Excellent,,Inadequate,,Adequate,Adequate,,,,,,,,,,Good,Good,Good,Good,Good,Adequate,Adequate,Adequate,Adequate,Inadequate,Inadequate,Inadequate,,,,,,,Good,Good,Excellent,Excellent,Excellent,Good,Adequate,Adequate,Inadequate,Inadequate,Inadequate,Adequate,,,,,,,Excellent,Adequate,,,Strongly agree,Strongly agree,Strongly agree,"Some do, other do not",Yes,Yes,Yes,No,No,,,Strong,Speak with the coordinator at KTH,Yes,At least KTH and Duke have worked very hard to make the experience a great one.,Maybe more student meetings with the coordinator at ULg. KTH was excellent.,Excellent,Excellent,Adequate,Inadequate,,,Neutral,Neutral,,,Yes,No,,Less bureaucracy in the university of Liege.,,Good,Adequate,Adequate,Inadequate,Good,Good,Adequate,,,,Adequate,Excellent,Excellent
2477,1980-01-01 00:00:00,13,en,160986suha,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,University of Liege,,,,,,,Excellent,Excellent,Good,Adequate,Adequate,Inadequate,,Inadequate,Adequate,Inadequate,Very inadequate,Adequate,Good,Good,Good,,Adequate,Adequate,,,,,,,,,,Adequate,Adequate,Adequate,Good,Adequate,Adequate,Adequate,Very inadequate,Very inadequate,Very inadequate,Very inadequate,Very inadequate,,,,,,,Good,Good,Good,Good,Good,Good,Inadequate,Adequate,Inadequate,Good,Good,,,,,,,,Good,Adequate,,,Agree,Agree,Neutral,"Some do, other do not",Somewhat (weak or unclear systems),Yes,Yes,No,No,,,Adequate,The date of delivery of degrees was really really late.,,,Monthly interactive sessions with cooridnators,Good,Good,Very inadequate,Adequate,,,Neutral,Agree,Neutral,Disagree,Yes,Yes,,Standard of studies should be synchronized and double degrees should be issued instead of joint degrees.,,Adequate,Good,Very inadequate,Very inadequate,Good,Good,Adequate,Adequate,Very inadequate,Good,Inadequate,Good,Excellent
522,1980-01-01 00:00:00,13,en,161087ANCO,Master course,THRUST - Erasmus Mundus Master's Course in TurbomacHinery aeRomechanic UniverSity Training,,,,,,,KTH Royal Institute of Technology,Aristotle University of Thessaloniki,,,,,,,Good,Excellent,Adequate,Adequate,Good,Good,,Adequate,Excellent,Adequate,Adequate,,,,Good,,Good,Adequate,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Adequate,Good,Good,Good,Good,Good,,,,,,,Good,Excellent,Excellent,Excellent,Good,Good,Adequate,Good,Inadequate,Inadequate,Excellent,Excellent,,,,,,,Excellent,Adequate,,There were issues with administration strikes in Greece during the start of the semester which made it more difficult.  An orientation specifically for Erasmus Mundus students would have been more helpful instead of each student trying to figure it out on his or her own without any guidance.,Strongly agree,Agree,Strongly agree,"Some do, other do not",Yes,Yes,Yes,,,,,Strong,Either emailing the program director or writing on a message board.,Yes,Each year the courses and logistics have improved due to taking student comments and recommendations into consideration such as providing additional support in courses and changing up the way material is distributed.,Continue to create surveys throughout the semesters and not just wait until the end of the semester to have students evaluate the courses or program.,Good,Excellent,Good,Inadequate,,,Agree,Agree,,Agree,Yes,No,,1.) More interaction with previous classes/alumni. 2.) Making more course information/material available online 3.) More support for internships within industries,N/A,Excellent,Good,Good,Good,Excellent,Excellent,Good,,,,Good,Excellent,Good
